index,TYPE,YEAR,MONTH,HUNDRED_BLOCK,NEWADDRESS,lat,lon
0,Commercial Break and Enter,2013,1,10XX CAMBIE ST,"1000 CAMBIE ST ,Vancouver, Canada",49.275955,-123.118209
1,Commercial Break and Enter,2013,1,6XX THURLOW ST,"600 THURLOW ST ,Vancouver, Canada",49.286335,-123.122188
2,Commercial Break and Enter,2013,1,9XX ROBSON ST,"900 ROBSON ST ,Vancouver, Canada",49.282643,-123.12176
3,Commercial Break and Enter,2013,1,5XX W BROADWAY AVE,"500 W BROADWAY AVE ,Vancouver, Canada",49.263229,-123.115012
4,Commercial Break and Enter,2013,1,10XX W PENDER ST,"1000 W PENDER ST ,Vancouver, Canada",49.286594,-123.117806
5,Commercial Break and Enter,2013,1,12XX W 6TH AVE,"1200 W 6TH AVE ,Vancouver, Canada",49.266084,-123.131262
6,Commercial Break and Enter,2013,1,10XX MAINLAND ST,"1000 MAINLAND ST ,Vancouver, Canada",49.276591,-123.11903
7,Commercial Break and Enter,2013,1,8XX QUEBEC ST,"800 QUEBEC ST ,Vancouver, Canada",49.277141,-123.102133
8,Commercial Break and Enter,2013,1,10XX MAINLAND ST,"1000 MAINLAND ST ,Vancouver, Canada",49.276591,-123.11903
9,Commercial Break and Enter,2013,1,1XX E HASTINGS ST,"100 E HASTINGS ST ,Vancouver, Canada",49.281454,-123.102102
10,Commercial Break and Enter,2013,1,2XX UNION ST,"200 UNION ST ,Vancouver, Canada",49.27767,-123.099076
11,Commercial Break and Enter,2013,1,7XX BEATTY ST,"700 BEATTY ST ,Vancouver, Canada",49.27871,-123.112254
12,Commercial Break and Enter,2013,1,1XX W PENDER ST,"100 W PENDER ST ,Vancouver, Canada",49.281205,-123.108405
13,Commercial Break and Enter,2013,1,13XX FRANCES ST,"1300 FRANCES ST ,Vancouver, Canada",49.279485,-123.077255
14,Commercial Break and Enter,2013,1,57XX CAMBIE ST,"5700 CAMBIE ST ,Vancouver, Canada",49.233443,-123.116076
15,Commercial Break and Enter,2013,1,82XX GRANVILLE ST,"8200 GRANVILLE ST ,Vancouver, Canada",49.211472,-123.140425
16,Commercial Break and Enter,2013,1,81XX GRANVILLE ST,"8100 GRANVILLE ST ,Vancouver, Canada",49.212098,-123.140405
17,Commercial Break and Enter,2013,1,7XX E 7TH AVE,"700 E 7TH AVE ,Vancouver, Canada",49.264331,-123.089003
18,Commercial Break and Enter,2013,1,34XX LOUGHEED HWY,"3400 LOUGHEED HWY ,Vancouver, Canada",49.262081,-123.031014
19,Commercial Break and Enter,2013,1,24XX E HASTINGS ST,"2400 E HASTINGS ST ,Vancouver, Canada",49.281129,-123.056477
20,Commercial Break and Enter,2013,1,1XX E PENDER ST,"100 E PENDER ST ,Vancouver, Canada",49.280473,-123.10216
21,Commercial Break and Enter,2013,1,9XX W 21ST AVE,"900 W 21ST AVE ,Vancouver, Canada",49.252599,-123.125188
22,Commercial Break and Enter,2013,1,2XX CARRALL ST,"200 CARRALL ST ,Vancouver, Canada",49.28346,-123.104251
23,Commercial Break and Enter,2013,1,7XX BURRARD ST,"700 BURRARD ST ,Vancouver, Canada",49.285017,-123.12019
24,Commercial Break and Enter,2013,1,GRANVILLE ST / W 57TH AVE,"GRANVILLE ST / W 57TH AVE ,Vancouver, Canada",49.219132,-123.12306
25,Commercial Break and Enter,2013,1,8XX CARRALL ST,"800 CARRALL ST ,Vancouver, Canada",49.27838,-123.105657
26,Commercial Break and Enter,2013,1,14XX W GEORGIA ST,"1400 W GEORGIA ST ,Vancouver, Canada",49.289139,-123.128251
27,Commercial Break and Enter,2013,1,5XX BEATTY ST,"500 BEATTY ST ,Vancouver, Canada",49.28122,-123.108458
28,Commercial Break and Enter,2013,1,8XX NICOLA ST,"800 NICOLA ST ,Vancouver, Canada",49.288682,-123.131105
29,Commercial Break and Enter,2013,1,1XX E 11TH AVE,"100 E 11TH AVE ,Vancouver, Canada",49.261139,-123.102938
30,Commercial Break and Enter,2013,1,16XX COMMERCIAL DR,"1600 COMMERCIAL DR ,Vancouver, Canada",49.270518,-123.069593
31,Commercial Break and Enter,2013,1,6XX E 6TH AVE,"600 E 6TH AVE ,Vancouver, Canada",49.265273,-123.0909
32,Commercial Break and Enter,2013,1,9XX E 7TH AVE,"900 E 7TH AVE ,Vancouver, Canada",49.264297,-123.08491
33,Commercial Break and Enter,2013,1,5XX ABBOTT ST,"500 ABBOTT ST ,Vancouver, Canada",49.281065,-123.107583
34,Commercial Break and Enter,2013,1,26XX COMMERCIAL DR,"2600 COMMERCIAL DR ,Vancouver, Canada",0.0,0.0
35,Commercial Break and Enter,2013,1,10XX E 11TH AVE,"1000 E 11TH AVE ,Vancouver, Canada",49.26058,-123.083339
36,Commercial Break and Enter,2013,1,7XX E 7TH AVE,"700 E 7TH AVE ,Vancouver, Canada",49.264331,-123.089003
37,Commercial Break and Enter,2013,1,8XX W 6TH AVE,"800 W 6TH AVE ,Vancouver, Canada",49.265969,-123.121579
38,Commercial Break and Enter,2013,1,22XX FRASER ST,"2200 FRASER ST ,Vancouver, Canada",49.265101,-123.089087
39,Commercial Break and Enter,2013,1,64XX KNIGHT ST,"6400 KNIGHT ST ,Vancouver, Canada",49.226319,-123.077208
40,Commercial Break and Enter,2013,1,ATHLETES WAY / ONTARIO ST,"ATHLETES WAY / ONTARIO ST ,Vancouver, Canada",49.269516,-123.104644
41,Commercial Break and Enter,2013,1,6XX SEYMOUR ST,"600 SEYMOUR ST ,Vancouver, Canada",49.283049,-123.115386
42,Commercial Break and Enter,2013,1,7XX W 12TH AVE,"700 W 12TH AVE ,Vancouver, Canada",49.260491,-123.120916
43,Commercial Break and Enter,2013,1,45XX CLANCY LORANGER WAY,"4500 CLANCY LORANGER WAY ,Vancouver, Canada",49.243397,-123.108222
44,Commercial Break and Enter,2013,1,4XX E 43RD AVE,"400 E 43RD AVE ,Vancouver, Canada",49.231098,-123.097314
45,Commercial Break and Enter,2013,1,5XX BEATTY ST,"500 BEATTY ST ,Vancouver, Canada",49.28122,-123.108458
46,Commercial Break and Enter,2013,1,1XX W GEORGIA ST,"100 W GEORGIA ST ,Vancouver, Canada",49.278847,-123.112319
47,Commercial Break and Enter,2013,1,9XX W 6TH AVE,"900 W 6TH AVE ,Vancouver, Canada",49.265951,-123.124325
48,Commercial Break and Enter,2013,1,11XX E HASTINGS ST,"1100 E HASTINGS ST ,Vancouver, Canada",49.28102,-123.081438
49,Commercial Break and Enter,2013,1,20XX W 4TH AVE,"2000 W 4TH AVE ,Vancouver, Canada",49.268099,-123.150389
50,Commercial Break and Enter,2013,1,16XX W 1ST AVE,"1600 W 1ST AVE ,Vancouver, Canada",49.270583,-123.141581
51,Commercial Break and Enter,2013,1,6XX GORE AVE,"600 GORE AVE ,Vancouver, Canada",49.279435,-123.097188
52,Commercial Break and Enter,2013,1,15XX E 5TH AVE,"1500 E 5TH AVE ,Vancouver, Canada",49.266019,-123.073575
53,Commercial Break and Enter,2013,1,16XX W 8TH AVE,"1600 W 8TH AVE ,Vancouver, Canada",49.264554,-123.141085
54,Commercial Break and Enter,2013,1,10XX JERVIS ST,"1000 JERVIS ST ,Vancouver, Canada",49.284894,-123.131725
55,Commercial Break and Enter,2013,1,1XX W HASTINGS ST,"100 W HASTINGS ST ,Vancouver, Canada",49.282013,-123.107182
56,Commercial Break and Enter,2013,1,25XX W 16TH AVE,"2500 W 16TH AVE ,Vancouver, Canada",49.257428,-123.162729
57,Commercial Break and Enter,2013,1,1XX W BROADWAY AVE,"100 W BROADWAY AVE ,Vancouver, Canada",49.26305,-123.106831
58,Commercial Break and Enter,2013,1,6XX E BROADWAY AVE,"600 E BROADWAY AVE ,Vancouver, Canada",49.262492,-123.090675
59,Commercial Break and Enter,2013,1,34XX CAMBIE ST,"3400 CAMBIE ST ,Vancouver, Canada",49.254919,-123.115156
60,Commercial Break and Enter,2013,1,25XX WOODLAND DR,"2500 WOODLAND DR ,Vancouver, Canada",49.262041,-123.073642
61,Commercial Break and Enter,2013,1,1XX CAMBIE ST,"100 CAMBIE ST ,Vancouver, Canada",49.284644,-123.108677
62,Commercial Break and Enter,2013,1,13XX SEYMOUR ST,"1300 SEYMOUR ST ,Vancouver, Canada",49.275302,-123.12702
63,Commercial Break and Enter,2013,1,16XX QUEBEC ST,"1600 QUEBEC ST ,Vancouver, Canada",49.271101,-123.102329
64,Commercial Break and Enter,2013,1,14XX LAMEYS MILL RD,"1400 LAMEYS MILL RD ,Vancouver, Canada",49.266377,-123.127609
65,Commercial Break and Enter,2013,1,1XX W PENDER ST,"100 W PENDER ST ,Vancouver, Canada",49.281205,-123.108405
66,Commercial Break and Enter,2013,1,2XX UNION ST,"200 UNION ST ,Vancouver, Canada",49.27767,-123.099076
67,Commercial Break and Enter,2013,1,5XX W HASTINGS ST,"500 W HASTINGS ST ,Vancouver, Canada",49.284091,-123.11194
68,Commercial Break and Enter,2013,1,10XX BURNABY ST,"1000 BURNABY ST ,Vancouver, Canada",49.278448,-123.130358
69,Commercial Break and Enter,2013,1,5XX BURRARD ST,"500 BURRARD ST ,Vancouver, Canada",49.286335,-123.118201
70,Commercial Break and Enter,2013,1,13XX BURRARD ST,"1300 BURRARD ST ,Vancouver, Canada",49.278026,-123.130764
71,Commercial Break and Enter,2013,1,11XX W 14TH AVE,"1100 W 14TH AVE ,Vancouver, Canada",49.258757,-123.129153
72,Commercial Break and Enter,2013,1,25XX GRANVILLE ST,"2500 GRANVILLE ST ,Vancouver, Canada",49.263479,-123.138575
73,Commercial Break and Enter,2013,1,16XX HOWE ST,"1600 HOWE ST ,Vancouver, Canada",49.274339,-123.132092
74,Commercial Break and Enter,2013,1,1XX SMITHE ST,"100 SMITHE ST ,Vancouver, Canada",49.276335,-123.115283
75,Commercial Break and Enter,2013,1,8XX BURRARD ST,"800 BURRARD ST ,Vancouver, Canada",49.283297,-123.12278
