TYPE,YEAR,MONTH,HUNDRED_BLOCK
Commercial Break and Enter,2013,01,10XX CAMBIE ST
Commercial Break and Enter,2013,01,6XX THURLOW ST
Commercial Break and Enter,2013,01,9XX ROBSON ST
Commercial Break and Enter,2013,01,5XX W BROADWAY AVE
Commercial Break and Enter,2013,01,10XX W PENDER ST
Commercial Break and Enter,2013,01,12XX W 6TH AVE
Commercial Break and Enter,2013,01,10XX MAINLAND ST
Commercial Break and Enter,2013,01,8XX QUEBEC ST
Commercial Break and Enter,2013,01,10XX MAINLAND ST
Commercial Break and Enter,2013,01,1XX E HASTINGS ST
Commercial Break and Enter,2013,01,2XX UNION ST
Commercial Break and Enter,2013,01,7XX BEATTY ST
Commercial Break and Enter,2013,01,1XX W PENDER ST
Commercial Break and Enter,2013,01,13XX FRANCES ST
Commercial Break and Enter,2013,01,57XX CAMBIE ST
Commercial Break and Enter,2013,01,82XX GRANVILLE ST
Commercial Break and Enter,2013,01,81XX GRANVILLE ST
Commercial Break and Enter,2013,01,7XX E 7TH AVE
Commercial Break and Enter,2013,01,34XX LOUGHEED HWY
Commercial Break and Enter,2013,01,24XX E HASTINGS ST
Commercial Break and Enter,2013,01,1XX E PENDER ST
Commercial Break and Enter,2013,01,9XX W 21ST AVE
Commercial Break and Enter,2013,01,2XX CARRALL ST
Commercial Break and Enter,2013,01,7XX BURRARD ST
Commercial Break and Enter,2013,01,GRANVILLE ST / W 57TH AVE
Commercial Break and Enter,2013,01,8XX CARRALL ST
Commercial Break and Enter,2013,01,14XX W GEORGIA ST
Commercial Break and Enter,2013,01,5XX BEATTY ST
Commercial Break and Enter,2013,01,8XX NICOLA ST
Commercial Break and Enter,2013,01,1XX E 11TH AVE
Commercial Break and Enter,2013,01,16XX COMMERCIAL DR
Commercial Break and Enter,2013,01,6XX E 6TH AVE
Commercial Break and Enter,2013,01,9XX E 7TH AVE
Commercial Break and Enter,2013,01,5XX ABBOTT ST
Commercial Break and Enter,2013,01,26XX COMMERCIAL DR
Commercial Break and Enter,2013,01,10XX E 11TH AVE
Commercial Break and Enter,2013,01,7XX E 7TH AVE
Commercial Break and Enter,2013,01,8XX W 6TH AVE
Commercial Break and Enter,2013,01,22XX FRASER ST
Commercial Break and Enter,2013,01,64XX KNIGHT ST
Commercial Break and Enter,2013,01,ATHLETES WAY / ONTARIO ST
Commercial Break and Enter,2013,01,6XX SEYMOUR ST
Commercial Break and Enter,2013,01,7XX W 12TH AVE
Commercial Break and Enter,2013,01,45XX CLANCY LORANGER WAY
Commercial Break and Enter,2013,01,4XX E 43RD AVE
Commercial Break and Enter,2013,01,5XX BEATTY ST
Commercial Break and Enter,2013,01,1XX W GEORGIA ST
Commercial Break and Enter,2013,01,9XX W 6TH AVE
Commercial Break and Enter,2013,01,11XX E HASTINGS ST
Commercial Break and Enter,2013,01,20XX W 4TH AVE
Commercial Break and Enter,2013,01,16XX W 1ST AVE
Commercial Break and Enter,2013,01,6XX GORE AVE
Commercial Break and Enter,2013,01,15XX E 5TH AVE
Commercial Break and Enter,2013,01,16XX W 8TH AVE
Commercial Break and Enter,2013,01,10XX JERVIS ST
Commercial Break and Enter,2013,01,1XX W HASTINGS ST
Commercial Break and Enter,2013,01,25XX W 16TH AVE
Commercial Break and Enter,2013,01,1XX W BROADWAY AVE
Commercial Break and Enter,2013,01,6XX E BROADWAY AVE
Commercial Break and Enter,2013,01,34XX CAMBIE ST
Commercial Break and Enter,2013,01,25XX WOODLAND DR
Commercial Break and Enter,2013,01,1XX CAMBIE ST
Commercial Break and Enter,2013,01,13XX SEYMOUR ST
Commercial Break and Enter,2013,01,16XX QUEBEC ST
Commercial Break and Enter,2013,01,14XX LAMEYS MILL RD
Commercial Break and Enter,2013,01,1XX W PENDER ST
Commercial Break and Enter,2013,01,2XX UNION ST
Commercial Break and Enter,2013,01,5XX W HASTINGS ST
Commercial Break and Enter,2013,01,10XX BURNABY ST
Commercial Break and Enter,2013,01,5XX BURRARD ST
Commercial Break and Enter,2013,01,13XX BURRARD ST
Commercial Break and Enter,2013,01,11XX W 14TH AVE
Commercial Break and Enter,2013,01,25XX GRANVILLE ST
Commercial Break and Enter,2013,01,16XX HOWE ST
Commercial Break and Enter,2013,01,1XX SMITHE ST
Commercial Break and Enter,2013,01,8XX BURRARD ST
Commercial Break and Enter,2013,01,82XX GRANVILLE ST
Commercial Break and Enter,2013,01,14XX W 12TH AVE
Commercial Break and Enter,2013,01,21XX ONTARIO ST
Commercial Break and Enter,2013,01,16XX E 13TH AVE
Commercial Break and Enter,2013,01,4XX W HASTINGS ST
Commercial Break and Enter,2013,01,1XX E PENDER ST
Commercial Break and Enter,2013,01,9XX W GEORGIA ST
Commercial Break and Enter,2013,01,12XX SALSBURY DR
Commercial Break and Enter,2013,01,8XX E 8TH AVE
Commercial Break and Enter,2013,01,22XX SE MARINE DR
Commercial Break and Enter,2013,01,1XX W CORDOVA ST
Commercial Break and Enter,2013,01,6XX GRANVILLE ST
Commercial Break and Enter,2013,01,41XX NANAIMO ST
Commercial Break and Enter,2013,01,12XX W BROADWAY AVE
Commercial Break and Enter,2013,01,88XX OSLER ST
Commercial Break and Enter,2013,01,1XX W HASTINGS ST
Commercial Break and Enter,2013,01,1XX KEEFER ST
Commercial Break and Enter,2013,01,13XX HOWE ST
Commercial Break and Enter,2013,01,45XX FRASER ST
Commercial Break and Enter,2013,01,1XX DAVIE ST
Commercial Break and Enter,2013,01,1XX W HASTINGS ST
Commercial Break and Enter,2013,01,11XX E BROADWAY AVE
Commercial Break and Enter,2013,01,20XX W BROADWAY AVE
Commercial Break and Enter,2013,01,1XX SW MARINE DR
Commercial Break and Enter,2013,01,28XX VENABLES ST
Commercial Break and Enter,2013,01,1XX W HASTINGS ST
Commercial Break and Enter,2013,01,33XX W 4TH AVE
Commercial Break and Enter,2013,01,56XX STAMFORD ST
Commercial Break and Enter,2013,01,11XX NELSON ST
Commercial Break and Enter,2013,01,59XX OAK ST
Commercial Break and Enter,2013,01,91XX MILTON ST
Commercial Break and Enter,2013,01,22XX PANDORA ST
Commercial Break and Enter,2013,01,91XX BENTLEY ST
Commercial Break and Enter,2013,01,63XX FRASER ST
Commercial Break and Enter,2013,01,1XX E 3RD AVE
Commercial Break and Enter,2013,01,BENTLEY ST / W 75TH AVE
Commercial Break and Enter,2013,01,30XX QUEBEC ST
Commercial Break and Enter,2013,01,22XX WILLOW ST
Commercial Break and Enter,2013,01,15XX E HASTINGS ST
Commercial Break and Enter,2013,01,12XX E GEORGIA ST
Commercial Break and Enter,2013,01,75XX STANLEY PARK DR
Commercial Break and Enter,2013,01,56XX STANLEY PARK DR
Commercial Break and Enter,2013,01,19XX TRIUMPH ST
Commercial Break and Enter,2013,01,23XX YORK AVE
Commercial Break and Enter,2013,01,6XX STAMPS LAND
Commercial Break and Enter,2013,01,14XX HOWE ST
Commercial Break and Enter,2013,01,28XX MAIN ST
Commercial Break and Enter,2013,01,6XX SEYMOUR ST
Commercial Break and Enter,2013,01,20XX E HASTINGS ST
Commercial Break and Enter,2013,01,4XX SEYMOUR ST
Commercial Break and Enter,2013,01,8XX E BROADWAY AVE
Commercial Break and Enter,2013,01,8XX E HASTINGS ST
Commercial Break and Enter,2013,01,12XX VENABLES ST
Commercial Break and Enter,2013,01,20XX W 4TH AVE
Commercial Break and Enter,2013,01,4XX W HASTINGS ST
Commercial Break and Enter,2013,01,11XX W BROADWAY AVE
Commercial Break and Enter,2013,01,4XX W HASTINGS ST
Commercial Break and Enter,2013,01,2XX CARRALL ST
Commercial Break and Enter,2013,01,48XX MACKENZIE ST
Commercial Break and Enter,2013,01,5XX BEATTY ST
Commercial Break and Enter,2013,01,3XX WATER ST
Commercial Break and Enter,2013,01,44XX DUNBAR ST
Mischief Over $5000,2013,01,15XX E 2ND AVE
Mischief Over $5000,2013,01,E 44TH AVE / TYNE ST
Mischief Over $5000,2013,01,9XX BEATTY ST
Mischief Over $5000,2013,01,49XX CONNAUGHT DR
Mischief Under $5000,2013,01,63XX VICTORIA DR
Mischief Under $5000,2013,01,10XX HAMILTON ST
Mischief Under $5000,2013,01,1XX E HASTINGS ST
Mischief Under $5000,2013,01,29XX W 37TH AVE
Mischief Under $5000,2013,01,VENABLES ST / VICTORIA DR
Mischief Under $5000,2013,01,31XX W 34TH AVE
Mischief Under $5000,2013,01,36XX E HASTINGS ST
Mischief Under $5000,2013,01,23XX W 41ST AVE
Mischief Under $5000,2013,01,29XX CLARK DR
Mischief Under $5000,2013,01,14XX E 12TH AVE
Mischief Under $5000,2013,01,59XX WALES ST
Mischief Under $5000,2013,01,10XX COMMERCIAL DR
Mischief Under $5000,2013,01,1XX POWELL ST
Mischief Under $5000,2013,01,HEATHER ST / W 14TH AVE
Mischief Under $5000,2013,01,27XX E 23RD AVE
Mischief Under $5000,2013,01,E 2ND AVE / MAIN ST
Mischief Under $5000,2013,01,15XX E 8TH AVE
Mischief Under $5000,2013,01,BARCLAY ST / LAGOON DR
Mischief Under $5000,2013,01,5XX W 7TH AVE
Mischief Under $5000,2013,01,11XX DAVIE ST
Mischief Under $5000,2013,01,18XX VICTORIA DR
Mischief Under $5000,2013,01,4XX E 55TH AVE
Mischief Under $5000,2013,01,11XX QUEBEC ST
Mischief Under $5000,2013,01,HARO ST / THURLOW ST
Mischief Under $5000,2013,01,9XX MAIN ST
Mischief Under $5000,2013,01,2XX W HASTINGS ST
Mischief Under $5000,2013,01,9XX GRANVILLE ST
Mischief Under $5000,2013,01,6XX W PENDER ST
Mischief Under $5000,2013,01,1XX ABBOTT ST
Mischief Under $5000,2013,01,7XX W GEORGIA ST
Mischief Under $5000,2013,01,29XX MAIN ST
Mischief Under $5000,2013,01,1XX E 5TH AVE
Mischief Under $5000,2013,01,9XX W PENDER ST
Mischief Under $5000,2013,01,41XX JERICHO DR
Mischief Under $5000,2013,01,22XX E 34TH AVE
Mischief Under $5000,2013,01,47XX ROSS ST
Mischief Under $5000,2013,01,3XX POWELL ST
Mischief Under $5000,2013,01,21XX E 3RD AVE
Mischief Under $5000,2013,01,14XX E HASTINGS ST
Mischief Under $5000,2013,01,3XX ABBOTT ST
Mischief Under $5000,2013,01,20XX W 51ST AVE
Mischief Under $5000,2013,01,8XX W 6TH AVE
Mischief Under $5000,2013,01,49XX VICTORIA DR
Mischief Under $5000,2013,01,16XX MAIN ST
Mischief Under $5000,2013,01,1XX E 42ND AVE
Mischief Under $5000,2013,01,13XX CARTWRIGHT ST
Mischief Under $5000,2013,01,10XX ROBSON ST
Mischief Under $5000,2013,01,18XX LORNE ST
Mischief Under $5000,2013,01,17XX E 4TH AVE
Mischief Under $5000,2013,01,2XX POWELL ST
